40.5406671 140.9784975 309.8 1782697027.0
40.5405455 140.9789551 306.8 1782697128.0
40.5406954 140.9791083 308.8 1782697161.0
40.5408082 140.9794805 309.8 1782697188.0
40.5407346 140.9796918 309.8 1782697228.0
40.5404855 140.9801036 309.8 1782697257.0
40.5403225 140.9804236 308.8 1782697283.0
40.540133 140.9805886 308.8 1782697347.0
40.5399986 140.9807851 308.8 1782697373.0
40.5397649 140.9809807 308.8 1782697401.0
40.5396804 140.9811256 308.8 1782697449.0
40.5393819 140.9813321 309.8 1782697483.0
40.5391204 140.9815818 311.8 1782697556.0
40.5388702 140.9816674 312.8 1782697588.0
40.5386229 140.9816753 313.8 1782697616.0
40.5383368 140.9816123 313.8 1782697648.0
40.5380884 140.9814791 314.8 1782697675.0
40.5378324 140.9815043 315.8 1782697713.0
40.537472 140.9812095 314.8 1782697741.0
40.5373811 140.9810033 312.8 1782697768.0
40.5370962 140.9808748 313.8 1782697796.0
40.5368419 140.9806772 312.8 1782697823.0
40.5365787 140.9804954 313.9 1782697850.0
40.5363094 140.9804801 314.9 1782697878.0
40.5362002 140.9802005 313.9 1782697905.0
40.5359305 140.98004 314.9 1782697937.0
40.5357009 140.979817 313.9 1782697967.0
40.5353903 140.9797528 315.9 1782697995.0
40.5351592 140.979723 315.9 1782698034.0
40.5349064 140.9795279 315.9 1782698062.0
40.5346608 140.9793275 315.9 1782698089.0
40.5343636 140.9792046 315.9 1782698116.0
40.534067 140.9790271 315.9 1782698145.0
40.5338438 140.9789334 315.9 1782698172.0
40.5335758 140.9788879 316.9 1782698204.0
40.5333405 140.9790322 316.9 1782698232.0
40.5331235 140.9790264 316.9 1782698265.0
40.5329041 140.9791286 317.9 1782698295.0
40.5326338 140.9789348 317.9 1782698322.0
40.5325143 140.9789534 317.9 1782698350.0
40.5323463 140.9790042 317.9 1782698381.0
40.5319738 140.9789943 321.9 1782698411.0
40.5316074 140.9788323 319.9 1782698438.0
40.5312604 140.9788272 322.9 1782698466.0
40.530891 140.9788012 325.9 1782698496.0
40.530665 140.9785284 321.9 1782698524.0
40.5304465 140.9782349 324.9 1782698552.0
40.5302145 140.9783905 322.9 1782698580.0
40.5300087 140.9782088 323.9 1782698611.0
40.5297679 140.9780183 325.9 1782698639.0
40.5295218 140.9778931 325.9 1782698670.0
40.5297898 140.9776089 326.9 1782698717.0
40.5296237 140.977316 327.9 1782698741.0
40.5295741 140.9769355 327.9 1782698768.0
40.5296305 140.9767361 327.9 1782698800.0
40.5296782 140.9764197 332.9 1782698851.0
40.5297163 140.9760568 333.9 1782698895.0
40.5298062 140.9758059 336.9 1782698936.0
40.5295164 140.9754441 334.9 1782698976.0
40.5296205 140.9751426 340.9 1782699003.0
40.5291904 140.9753102 331.9 1782699034.0
40.5290696 140.9750774 334.9 1782699065.0
40.5288408 140.974946 332.9 1782699088.0
40.5286069 140.9749161 333.9 1782699122.0
40.5283103 140.974731 334.9 1782699147.0
40.5281199 140.9743771 338.9 1782699176.0
40.5277743 140.9743052 338.9 1782699204.0
40.52742 140.9742709 338.9 1782699231.0
40.5270738 140.974249 338.9 1782699260.0
